stimulus,points_in,points_out,rho
bunny_D01_L01,35947,32957,91.68%
bunny_D01_L02,35947,25209,70.13%
bunny_D01_L03,35947,17763,49.41%
bunny_D01_L04,35947,10870,30.24%
cube_D01_L01,30246,27541,91.06%
cube_D01_L02,30246,20888,69.06%
cube_D01_L03,30246,15002,49.60%
cube_D01_L04,30246,9602,31.75%
dragon_D01_L01,22998,20847,90.65%
dragon_D01_L02,22998,16487,71.69%
dragon_D01_L03,22998,11539,50.17%
dragon_D01_L04,22998,7026,30.55%
sphere_D01_L01,30135,27298,90.59%
sphere_D01_L02,30135,21100,70.02%
sphere_D01_L03,30135,15168,50.33%
sphere_D01_L04,30135,8977,29.79%
vase_D01_L01,36022,32454,90.10%
vase_D01_L02,36022,25217,70.00%
vase_D01_L03,36022,17963,49.87%
vase_D01_L04,36022,10693,29.69%
