stimulus,points_in,points_out,sigma
bunny_D02_L01,35947,35947,0.0005
bunny_D02_L02,35947,35947,0.002
bunny_D02_L03,35947,35947,0.008
bunny_D02_L04,35947,35947,0.016
cube_D02_L01,30246,30246,0.0005
cube_D02_L02,30246,30246,0.002
cube_D02_L03,30246,30246,0.008
cube_D02_L04,30246,30246,0.016
dragon_D02_L01,22998,22998,0.0005
dragon_D02_L02,22998,22998,0.002
dragon_D02_L03,22998,22998,0.008
dragon_D02_L04,22998,22998,0.016
sphere_D02_L01,30135,30135,0.0005
sphere_D02_L02,30135,30135,0.002
sphere_D02_L03,30135,30135,0.008
sphere_D02_L04,30135,30135,0.016
vase_D02_L01,36022,36022,0.0005
vase_D02_L02,36022,36022,0.002
vase_D02_L03,36022,36022,0.008
vase_D02_L04,36022,36022,0.016
