stimulus,MOS,CI,subjID_1,subjID_2,subjID_3,subjID_4,subjID_5,subjID_6,subjID_7,subjID_8,subjID_9,subjID_10,subjID_11,subjID_12,subjID_13,subjID_14,subjID_15,subjID_16,subjID_17,subjID_18,subjID_19,subjID_20
bunny,4.75,0.34,5,5,5,5,2,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5
bunny_D01_L01,2.75,0.5,2,3,4,2,1,1,3,2,3,3,2,4,4,4,3,2,4,3,4,1
bunny_D01_L02,3.3,0.31,3,2,3,3,2,4,3,3,4,3,4,4,4,4,3,4,3,3,4,3
bunny_D01_L03,2.6,0.41,1,2,4,2,2,2,3,3,2,4,3,4,3,2,2,3,3,3,3,1
bunny_D01_L04,2,0.43,1,1,4,2,3,1,2,3,1,1,3,2,3,2,3,2,2,1,2,1
cube,4.6,0.28,5,4,5,5,4,5,5,4,5,4,3,5,5,4,5,5,4,5,5,5
cube_D01_L01,4.3,0.4,4,5,5,4,3,3,3,4,5,3,3,5,5,5,5,5,4,5,5,5
cube_D01_L02,4.5,0.28,4,4,5,4,4,4,5,5,5,4,5,5,3,5,5,4,4,5,5,5
cube_D01_L03,3.85,0.46,3,3,5,4,3,4,4,5,5,2,4,5,3,4,5,2,3,4,4,5
cube_D01_L04,3.7,0.46,3,3,5,3,4,3,4,5,5,2,5,4,3,4,5,3,2,4,3,4
dragon,4.1,0.45,4,4,4,2,5,4,4,5,5,2,5,3,5,5,4,4,3,4,5,5
dragon_D01_L01,2.25,0.4,1,1,1,2,3,1,2,4,3,2,3,2,3,3,2,2,3,3,2,2
dragon_D01_L02,2.3,0.4,1,2,2,1,3,1,2,2,3,3,3,2,4,3,3,2,3,2,3,1
dragon_D01_L03,1.7,0.27,1,2,1,2,2,2,2,2,2,1,2,1,2,2,2,1,2,1,3,1
dragon_D01_L04,1.25,0.21,1,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1
sphere,4.95,0.1,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
sphere_D01_L01,3.55,0.44,4,4,2,2,2,4,4,5,4,2,3,3,5,3,4,4,4,4,4,4
sphere_D01_L02,2.25,0.4,1,3,2,1,1,3,3,2,3,3,1,3,3,1,2,2,3,3,3,2
sphere_D01_L03,2.15,0.35,1,2,3,1,2,3,2,3,3,1,2,2,2,1,3,2,3,2,2,3
sphere_D01_L04,1.85,0.35,1,2,3,1,3,2,2,2,1,3,2,2,1,1,2,2,3,1,1,2
vase,4.6,0.41,5,4,5,3,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5
vase_D01_L01,3.15,0.41,4,2,4,2,2,3,3,3,5,4,2,4,4,4,2,3,3,3,3,3
vase_D01_L02,2.5,0.44,2,2,3,1,1,2,2,3,5,3,2,4,3,2,2,2,3,3,2,3
vase_D01_L03,2.5,0.36,2,2,2,1,3,2,3,3,4,2,2,4,3,3,2,2,3,2,3,2
vase_D01_L04,1.6,0.24,1,2,1,1,2,1,1,2,1,2,2,2,1,1,2,2,2,2,2,2
