stimulus,MOS,CI,subjID_1,subjID_2,subjID_3,subjID_4,subjID_5,subjID_6,subjID_7,subjID_8,subjID_9,subjID_10,subjID_11,subjID_12,subjID_13,subjID_14,subjID_15,subjID_16,subjID_17,subjID_18,subjID_19,subjID_20
bunny,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
bunny_D01_L01,3,0.3,2,3,3,3,3,3,3,3,2,3,4,4,3,3,4,2,2,4,3,3
bunny_D01_L02,3,0.4,2,3,3,2,4,3,3,3,4,1,4,3,3,3,2,2,3,4,4,4
bunny_D01_L03,2.6,0.28,2,2,2,3,2,2,3,2,3,2,4,3,3,3,3,2,3,2,3,3
bunny_D01_L04,1.9,0.43,1,2,3,2,1,2,3,1,1,2,3,4,2,1,1,1,1,2,3,2
cube,4.95,0.1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
cube_D01_L01,4.75,0.21,5,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4,4,5
cube_D01_L02,4.35,0.35,5,2,5,4,4,4,4,5,4,5,5,5,5,4,4,5,4,4,4,5
cube_D01_L03,3.7,0.34,4,3,3,4,4,3,4,4,4,4,5,5,3,4,3,3,4,2,4,4
cube_D01_L04,2.9,0.52,3,3,4,4,2,2,3,2,2,3,4,5,1,3,3,2,3,3,5,1
dragon,4.85,0.17,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5
dragon_D01_L01,2.65,0.31,2,4,1,3,3,3,2,2,3,3,3,3,2,3,3,2,3,3,3,2
dragon_D01_L02,2.6,0.35,2,2,2,2,3,3,2,3,3,2,4,4,2,3,1,2,3,3,3,3
dragon_D01_L03,1.9,0.48,1,2,1,1,3,1,2,2,2,1,4,3,1,2,3,1,1,1,4,2
dragon_D01_L04,1.35,0.38,1,2,1,1,1,1,1,1,1,1,4,1,1,1,3,1,1,1,2,1
sphere,4.95,0.1,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5
sphere_D01_L01,3.7,0.31,4,4,4,4,3,3,3,4,3,3,5,4,4,4,3,4,5,4,3,3
sphere_D01_L02,2.2,0.33,2,2,2,3,2,3,3,2,1,2,3,2,2,2,2,3,3,3,1,1
sphere_D01_L03,2.1,0.45,1,2,2,2,2,3,3,2,1,1,4,2,1,3,1,2,3,4,1,2
sphere_D01_L04,1.3,0.27,1,1,1,2,1,1,1,1,1,2,3,1,1,2,2,1,1,1,1,1
vase,4.9,0.14,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5
vase_D01_L01,3.05,0.28,3,3,2,3,3,3,3,2,2,3,4,3,4,3,3,3,3,4,4,3
vase_D01_L02,2.5,0.32,2,1,3,3,2,3,3,2,2,2,4,2,3,3,2,2,2,3,3,3
vase_D01_L03,2.1,0.4,2,1,3,2,3,1,3,1,1,2,3,3,2,2,1,2,2,2,4,2
vase_D01_L04,1.55,0.32,1,1,1,2,2,2,2,1,1,1,3,2,1,1,1,1,2,2,3,1
